Rk,Player,Age,Team,Lg,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional
98,George Kirby,27,SEA,AL,0.8,10,8,.556,4.21,23,23,0,0,0,0,126.0,121,60,59,15,29,0,137,7,0,3,524,90,3.37,1.190,8.6,1.1,2.1,9.8,4.72,,kirbyge01
99,Walker Buehler,30,2TM,2LG,0.0,10,7,.588,4.93,26,24,1,0,0,0,126.0,130,73,69,22,61,0,92,11,0,0,565,84,5.66,1.516,9.3,1.6,4.4,6.6,1.51,,buehlwa01
99,Walker Buehler,30,BOS,AL,-0.9,7,7,.500,5.45,23,22,1,0,0,0,112.1,120,72,68,22,55,0,84,9,0,0,508,75,5.89,1.558,9.6,1.8,4.4,6.7,1.53,,buehlwa01
99,Walker Buehler,30,PHI,NL,0.8,3,0,1.000,0.66,3,2,0,0,0,0,13.2,10,1,1,0,6,0,8,2,0,0,57,684,3.72,1.171,6.6,0.0,4.0,5.3,1.33,,buehlwa01
100,Chris Sale*,36,ATL,NL,4.0,7,5,.583,2.58,21,20,0,0,0,0,125.2,102,38,36,11,32,0,165,11,0,3,510,161,2.67,1.066,7.3,0.8,2.3,11.8,5.16,AS,salech01
101,Spencer Strider,26,ATL,NL,1.1,7,14,.333,4.45,23,23,0,0,0,0,125.1,124,63,62,20,51,0,131,8,1,1,539,93,4.53,1.396,8.9,1.4,3.7,9.4,2.57,,stridsp01
102,Bailey Falter*,28,2TM,2LG,0.8,7,7,.500,4.45,26,24,1,0,0,0,125.1,115,68,62,19,46,0,81,1,0,5,518,96,4.94,1.285,8.3,1.4,3.3,5.8,1.76,,falteba01
102,Bailey Falter*,28,PIT,NL,1.5,7,5,.583,3.73,22,22,0,0,0,0,113.1,95,53,47,17,39,0,70,1,0,4,457,115,4.91,1.182,7.5,1.4,3.1,5.6,1.79,,falteba01
102,Bailey Falter*,28,KCR,AL,-0.7,0,2,.000,11.25,4,2,1,0,0,0,12.0,20,15,15,2,7,0,11,0,0,1,61,38,5.22,2.250,15.0,1.5,5.3,8.3,1.57,,falteba01
103,Adrian Houser,32,2TM,AL,3.3,8,5,.615,3.31,21,21,0,0,0,0,125.0,122,49,46,10,38,0,92,8,3,5,518,126,3.81,1.280,8.8,0.7,2.7,6.6,2.42,,housead01
